ProjectTitle,Description,ProjectLink,Image
Stop Cop City,"We launched stopcopcity.net, directing people to send over 63,000 emails to contractors, funders, and city council members to cease support of the $67 million Cop City Project which would destroy over 100 acres of Weelaunee Forest.",stopcopcity.net,
SAFER,"In response to the overturning of Roe vs. Wade, we launched a five-pronged tool called S.A.F.E.R. We Spammed the reviews of Crisis Pregnancy Centers so they wouldn’t be able to deceive abortion seekers, Assisted on the ground groups by recruiting volunteers, Funded abortion funds to the tune of $2M, Educated folks on abortion laws in their states, and Registered young voters.",SAFER.org,https://storage.googleapis.com/gz4c-site-data/initiative-data/20250829_160821_60c21e1b.png
People Over Prime ,"In response to the NLRB repeatedly ruling against Amazon for numerous labor violations, including widespread surveillance of unionized employees, anti-union propaganda dissemination, unfair terminations, and more, Gen-Z for Change launched peopleoverprime.org in 2024. This site allowed more than 24,000 people to send automatically generated emails to the NLRB and White House, calling on them to issue a bargaining order to Amazon to bring an end to the years-long abuse of union members. ",peopleoverprime.org,
Abortion Ambassadors ,"Since the fall of Roe, countless people have been harmed by the lack of access to reproductive care. Their stories and accurate information about abortion needs to be heard. We partnered with several notable and trustworthy content creators to make videos about abortion stories, abortion funds, and ballot initiatives, generating over 7 million views. ",https://www.cnn.com/2024/10/22/politics/tik-tok-young-voters,
Stop the Willow Project,"Alongside impact producer Alex Haraus and our former Executive Director Elise Joshi, we led an effort to generate over 80,000 emails and 8,000 calls to Congress urging for a suspension of Willow permits until litigation is completed resulting in 33 members of Congress signing onto a letter to suspend Willow permits.",https://www.cnn.com/2023/03/05/us/willow-project-tiktok-petition-movement-climate,
#ShowOU,"We launched a campaign opposing the unjust firing of Mel Curth. We created a digital toolkit that enabled supporters and advocates to email university stakeholders directly as part of a pressure and awareness campaign, resulting in 15K emails sent in less than a week. We built our ShowOU tool to directly subvert the digital disinformation ecosystem surrounding this issue and in response to alt-right radicalism using religion and “traditionalism” as a veil for transphobia and regressionist ideology.
",https://gz4c.org/showou/,
Amazon Workers for Climate Justice Collaboration,"Amazon Employees for Climate Justice have organized their fellow Amazon tech employees to sign onto an open letter demanding serious changes to the new AI policy. To support their efforts, we activated creators to share the open letter on the platform, getting it in front of even more Amazon employees. We also made a creator pledge where influencers vowed to not work with Amazon in any capacity until the employees’ demands were met. The creators who signed this pledge have a collective following of over 51 million people. ",https://gz4c.org/creatorsagainstamazon/,https://storage.googleapis.com/gz4c-site-data/initiative-data/20251212_194314_9078fbf0.png
Fuel the Union - ,"Gen-Z for Change collaborated with workers with Teamsters Local 283 who went on strike in 2024 for better pay and safer working conditions at Marathon Petroleum’s Detroit refinery. Marathon Petroleum responded by hiring temp workers at double the pay and a severely inadequate level of training. Gen-Z for Change developed fueltheunion.com to allow people to send auto-generated emails to Governor Whitmer and Detroit leaders bringing awareness to the gross safety violations. Through our content, we sent over 20,000 emails and helped to implore the Detroit City Council to unanimously vote on a resolution standing in solidarity with Teamsters Local 283, citing the temporary hires' union demands and safety concerns.",https://fueltheunion.com/,
Eyes on AI,"In response, Gen-Z for Change is launching Eyes on AI: a mass education campaign dedicated to bringing awareness to the AI-powered surveillance apparatus through an innovative new tool. The Eyes on AI tool prompts you to detail the ways in which you are subjected to surveillance in your everyday life and provides you with material interventions to reduce your individual level of risk.  ",https://eyeson-ai.org/,
Charlie Quotes,"Our work this year centered on the fight against rising fascism and the regressive misinformation pipelines attempting to rewrite history by platforming violent ideology. Our viral Charlie quotes project serves as a living database of direct quotes to properly memorialize the alt-right impact of Charlie Kirk. We created the only compiled source of information on Charlie Kirk’s ideology, using only his own words; we cut through the prolific disinformation campaigns that aim to rewrite his image. This database has been visited by over 200K+ people.",https://charliequotes.com/,
